bulk_density,d50,flowability,conical_half_angle,conical_outlet_dim,plane_half_angle,plane_outlet_dim,flowability_score,shape_Cuboid,shape_Cystalline,shape_Elomgated,shape_Irregular,shape_Irregular and angular,shape_Oval,shape_Semirounded,shape_angular,shape_lens shaped,shape_spherical
1296.6567281859263,121.39412896140492,Poor,26.267514060799936,153.80431917247566,38.37247298583725,99.27718748719424,2,False,False,False,False,False,False,True,False,False,False
118.0,45.38979809803904,Fair,46.88950563325802,349.2502765183912,60.04536447244084,213.31849598066051,4,False,False,False,False,False,True,False,False,False,False
1162.0412934084288,63.94520392173296,Fair,22.509689149665714,164.36406664062935,36.76966998791243,114.91993540043543,4,False,False,False,False,False,False,False,True,False,False
1031.9963018026208,176.5414184229927,Very Very Poor,30.217429733928427,415.769149034827,40.42501373575425,251.41311429882435,0,True,False,False,False,False,False,False,False,False,False
118.0,168.78182485859372,Excellent,55.0,40.0,65.0,40.0,6,False,False,False,False,False,True,False,False,False,False
1315.1973238051564,19.729440966493552,Passable,34.4645307565718,59.86509540088964,40.42045985696996,53.92790154444541,3,False,True,False,False,False,False,False,False,False,False
291.0900586766716,203.9980588099921,Excellent,47.16278807379353,129.62909935452774,50.9973850422842,78.16231366720068,6,False,False,False,False,False,False,False,True,False,False
1013.6061095370866,46.383155413951,Very Very Poor,19.462181050239582,436.9860015523323,27.96370824569,309.9434851916176,0,True,False,False,False,False,False,False,False,False,False
1674.8237522195247,184.1857589514963,Poor,30.555947432249123,40.0,36.60299604049469,40.0,2,False,False,False,False,False,False,False,True,False,False
531.071760297059,106.41757466171224,Very Poor,36.925116701674725,547.4706896717105,47.23090535982505,393.7471313625592,1,False,False,False,True,False,False,False,False,False,False
1087.269317920584,81.99732622218973,Excellent,21.58245742009206,40.0,34.19972779981402,40.0,6,False,False,False,False,False,False,False,False,False,True
354.1191644703632,214.12622107053332,Poor,55.0,223.5842707813095,63.87403193357879,191.17759064087693,2,False,True,False,False,False,False,False,False,False,False
393.5381589757908,109.6438118713688,Very Poor,50.88899219721561,484.2493958058978,50.576548606596525,281.6068544867522,1,False,False,False,False,False,True,False,False,False,False
722.6014343913754,98.60405704683488,Very Very Poor,40.80090520917547,375.79624476402336,49.76735434636177,237.17999878287736,0,False,True,False,False,False,False,False,False,False,False
659.4367705483807,42.74957453971689,Very Very Poor,29.2235205325959,620.6457355128537,32.762342070051915,462.13014964319785,0,False,False,False,False,False,False,False,False,False,True
524.5053171534931,78.77732801153141,Very Poor,31.493695548034434,566.1892541280455,39.354199273507845,385.7189902852946,1,False,False,False,False,False,False,True,False,False,False
481.8837927098911,202.2794363380042,Passable,37.828988185844345,293.5602687514988,44.45661866218375,226.32379810424536,3,False,False,True,False,False,False,False,False,False,False
1515.3691529017517,80.70314949349562,Fair,28.598225005185025,103.72036982613378,31.498225365764768,60.88815701285514,4,False,False,False,False,False,False,True,False,False,False
